DesignName,ParticipantID,TrialID,Block1,Trial,VV,OC,VisualSearchTime,ErrorCount
Blocked by VV,1,44,3,6,StrokeFill,Large,12568,0
Blocked by VV,1,45,3,6,StrokeFill,Large,5237,0
Blocked by VV,1,46,3,6,StrokeFill,Large,3121,0
Blocked by VV,1,47,3,7,StrokeFill,Medium,3536,0
Blocked by VV,1,48,3,8,StrokeFill,Small,2872,0
Blocked by VV,1,49,3,8,StrokeFill,Small,1888,0
Blocked by VV,1,50,3,9,StrokeFill,Medium,1664,0
Blocked by VV,1,51,3,10,StrokeFill,Large,6712,0
Blocked by VV,1,52,3,11,StrokeFill,Medium,1760,0
Blocked by VV,1,53,3,12,StrokeFill,Small,1471,0
Blocked by VV,1,54,3,12,StrokeFill,Small,1120,0
Blocked by VV,2,55,1,1,StrokeFill,Medium,4815,0
Blocked by VV,2,56,1,2,StrokeFill,Large,4884,0
Blocked by VV,2,57,1,2,StrokeFill,Large,6660,0
Blocked by VV,2,58,1,3,StrokeFill,Small,1126,1
Blocked by VV,2,59,1,4,StrokeFill,Medium,3190,0
Blocked by VV,2,60,1,4,StrokeFill,Medium,2647,0
Blocked by VV,2,61,1,5,StrokeFill,Small,1318,0
Blocked by VV,2,62,1,6,StrokeFill,Large,4429,0
Blocked by VV,2,63,1,6,StrokeFill,Large,1624,0
Blocked by VV,2,64,1,6,StrokeFill,Large,1790,0
Blocked by VV,2,65,1,7,StrokeFill,Medium,1336,0
Blocked by VV,2,66,1,8,StrokeFill,Small,1101,0
Blocked by VV,2,67,1,8,StrokeFill,Small,1046,0
Blocked by VV,2,68,1,9,StrokeFill,Medium,2621,1
Blocked by VV,2,69,1,10,StrokeFill,Large,2279,0
Blocked by VV,2,70,1,11,StrokeFill,Medium,1653,0
Blocked by VV,2,71,1,12,StrokeFill,Small,2646,0
Blocked by VV,2,72,1,12,StrokeFill,Small,1054,0
Blocked by VV,2,73,2,1,Fill,Medium,861,0
Blocked by VV,2,74,2,2,Fill,Large,1078,0
Blocked by VV,2,75,2,2,Fill,Large,758,0
Blocked by VV,2,76,2,3,Fill,Small,838,0
Blocked by VV,2,77,2,4,Fill,Medium,702,0
Blocked by VV,2,78,2,4,Fill,Medium,870,0
Blocked by VV,2,79,2,5,Fill,Small,662,0
Blocked by VV,2,80,2,6,Fill,Large,583,0
Blocked by VV,2,81,2,6,Fill,Large,648,0
Blocked by VV,2,82,2,6,Fill,Large,592,0
Blocked by VV,2,83,2,7,Fill,Medium,637,0
Blocked by VV,2,84,2,8,Fill,Small,694,0
Blocked by VV,2,85,2,8,Fill,Small,790,0
Blocked by VV,2,86,2,9,Fill,Medium,607,0
Blocked by VV,2,87,2,10,Fill,Large,839,0
Blocked by VV,2,88,2,11,Fill,Medium,624,0
Blocked by VV,2,89,2,12,Fill,Small,584,0
Blocked by VV,2,90,2,12,Fill,Small,621,0
Blocked by VV,2,91,3,1,Stroke,Medium,702,0
Blocked by VV,2,92,3,2,Stroke,Large,846,0
Blocked by VV,2,93,3,2,Stroke,Large,632,0
Blocked by VV,2,94,3,3,Stroke,Small,806,0
Blocked by VV,2,95,3,4,Stroke,Medium,616,0
Blocked by VV,2,96,3,4,Stroke,Medium,574,0
Blocked by VV,2,97,3,5,Stroke,Small,494,0
Blocked by VV,2,98,3,6,Stroke,Large,629,0
Blocked by VV,2,99,3,6,Stroke,Large,511,0
Blocked by VV,2,100,3,6,Stroke,Large,606,0
Blocked by VV,2,101,3,7,Stroke,Medium,464,0
Blocked by VV,2,102,3,8,Stroke,Small,511,0
Blocked by VV,2,103,3,8,Stroke,Small,541,0
Blocked by VV,2,104,3,9,Stroke,Medium,495,0
Blocked by VV,2,105,3,10,Stroke,Large,688,0
Blocked by VV,2,106,3,11,Stroke,Medium,679,0
Blocked by VV,2,107,3,12,Stroke,Small,558,0
Blocked by VV,2,108,3,12,Stroke,Small,775,0
Blocked by VV,3,109,1,1,Stroke,Medium,678,0
Blocked by VV,3,110,1,2,Stroke,Large,800,0
Blocked by VV,3,111,1,2,Stroke,Large,1119,0
Blocked by VV,3,112,1,3,Stroke,Small,767,0
Blocked by VV,3,113,1,4,Stroke,Medium,1247,0
Blocked by VV,3,114,1,4,Stroke,Medium,694,0
Blocked by VV,3,115,1,5,Stroke,Small,615,0
Blocked by VV,3,116,1,6,Stroke,Large,728,0
Blocked by VV,3,117,1,6,Stroke,Large,768,0
Blocked by VV,3,118,1,6,Stroke,Large,591,0
Blocked by VV,3,119,1,7,Stroke,Medium,638,0
Blocked by VV,3,120,1,8,Stroke,Small,614,0
Blocked by VV,3,121,1,8,Stroke,Small,662,0
Blocked by VV,3,122,1,9,Stroke,Medium,550,0
Blocked by VV,3,123,1,10,Stroke,Large,1206,0
Blocked by VV,3,124,1,11,Stroke,Medium,686,0
Blocked by VV,3,125,1,12,Stroke,Small,670,0
Blocked by VV,3,126,1,12,Stroke,Small,566,0
Blocked by VV,3,127,2,1,StrokeFill,Medium,1301,0
Blocked by VV,3,128,2,2,StrokeFill,Large,1519,0
Blocked by VV,3,129,2,2,StrokeFill,Large,2768,0
Blocked by VV,3,130,2,3,StrokeFill,Small,781,0
Blocked by VV,3,131,2,4,StrokeFill,Medium,1328,0
Blocked by VV,3,132,2,4,StrokeFill,Medium,1919,0
Blocked by VV,3,133,2,5,StrokeFill,Small,1270,0
Blocked by VV,3,134,2,6,StrokeFill,Large,3971,0
Blocked by VV,3,135,2,6,StrokeFill,Large,2422,0
Blocked by VV,3,136,2,6,StrokeFill,Large,1815,0
Blocked by VV,3,137,2,7,StrokeFill,Medium,4071,0
Blocked by VV,3,138,2,8,StrokeFill,Small,1742,0
Blocked by VV,3,139,2,8,StrokeFill,Small,1590,0
Blocked by VV,3,140,2,9,StrokeFill,Medium,1238,0
Blocked by VV,3,141,2,10,StrokeFill,Large,4740,0
Blocked by VV,3,142,2,11,StrokeFill,Medium,2119,0
Blocked by VV,3,143,2,12,StrokeFill,Small,1143,0
Blocked by VV,3,144,2,12,StrokeFill,Small,1589,0
Blocked by VV,3,145,3,1,Fill,Medium,719,0
Blocked by VV,3,146,3,2,Fill,Large,810,0
Blocked by VV,3,147,3,2,Fill,Large,822,0
Blocked by VV,3,148,3,3,Fill,Small,645,0
Blocked by VV,3,149,3,4,Fill,Medium,597,0
Blocked by VV,3,150,3,4,Fill,Medium,664,0
Blocked by VV,3,151,3,5,Fill,Small,629,0
Blocked by VV,3,152,3,6,Fill,Large,671,0
Blocked by VV,3,153,3,6,Fill,Large,798,0
Blocked by VV,3,154,3,6,Fill,Large,640,0
Blocked by VV,3,155,3,7,Fill,Medium,646,0
Blocked by VV,3,156,3,8,Fill,Small,621,0
Blocked by VV,3,157,3,8,Fill,Small,742,0
Blocked by VV,3,158,3,9,Fill,Medium,575,0
Blocked by VV,3,159,3,10,Fill,Large,582,0
Blocked by VV,3,160,3,11,Fill,Medium,583,0
Blocked by VV,3,161,3,12,Fill,Small,510,0
Blocked by VV,3,162,3,12,Fill,Small,598,0
Blocked by VV,4,163,1,1,Fill,Medium,648,0
Blocked by VV,4,164,1,2,Fill,Large,583,0
Blocked by VV,4,165,1,2,Fill,Large,727,0
Blocked by VV,4,166,1,3,Fill,Small,574,0
Blocked by VV,4,167,1,4,Fill,Medium,535,0
Blocked by VV,4,168,1,4,Fill,Medium,494,0
Blocked by VV,4,169,1,5,Fill,Small,470,0
Blocked by VV,4,170,1,6,Fill,Large,535,0
Blocked by VV,4,171,1,6,Fill,Large,560,0
Blocked by VV,4,172,1,6,Fill,Large,535,0
Blocked by VV,4,173,1,7,Fill,Medium,502,0
Blocked by VV,4,174,1,8,Fill,Small,430,0
Blocked by VV,4,175,1,8,Fill,Small,477,0
Blocked by VV,4,176,1,9,Fill,Medium,431,0
Blocked by VV,4,177,1,10,Fill,Large,462,0
Blocked by VV,4,178,1,11,Fill,Medium,414,0
Blocked by VV,4,179,1,12,Fill,Small,478,0
Blocked by VV,4,180,1,12,Fill,Small,446,0
Blocked by VV,4,181,2,1,Stroke,Medium,526,0
Blocked by VV,4,182,2,2,Stroke,Large,578,0
Blocked by VV,4,183,2,2,Stroke,Large,447,0
Blocked by VV,4,184,2,3,Stroke,Small,462,0
Blocked by VV,4,185,2,4,Stroke,Medium,464,0
Blocked by VV,4,186,2,4,Stroke,Medium,430,0
Blocked by VV,4,187,2,5,Stroke,Small,461,0
Blocked by VV,4,188,2,6,Stroke,Large,1152,0
Blocked by VV,4,189,2,6,Stroke,Large,673,0
Blocked by VV,4,190,2,6,Stroke,Large,540,0
Blocked by VV,4,191,2,7,Stroke,Medium,647,0
Blocked by VV,4,192,2,8,Stroke,Small,526,0
Blocked by VV,4,193,2,8,Stroke,Small,470,0
Blocked by VV,4,194,2,9,Stroke,Medium,454,0
Blocked by VV,4,195,2,10,Stroke,Large,431,0
Blocked by VV,4,196,2,11,Stroke,Medium,229,0
Blocked by VV,4,197,2,12,Stroke,Small,486,0
Blocked by VV,4,198,2,12,Stroke,Small,414,0
Blocked by VV,4,199,3,1,StrokeFill,Medium,470,1
Blocked by VV,4,200,3,2,StrokeFill,Large,1293,0
Blocked by VV,4,201,3,2,StrokeFill,Large,2430,0
Blocked by VV,4,202,3,3,StrokeFill,Small,1398,0
Blocked by VV,4,203,3,4,StrokeFill,Medium,1254,0
Blocked by VV,4,204,3,4,StrokeFill,Medium,1534,0
Blocked by VV,4,205,3,5,StrokeFill,Small,1206,0
Blocked by VV,4,206,3,6,StrokeFill,Large,1864,0
Blocked by VV,4,207,3,6,StrokeFill,Large,1639,0
Blocked by VV,4,208,3,6,StrokeFill,Large,1311,0
Blocked by VV,4,209,3,7,StrokeFill,Medium,1238,0
Blocked by VV,4,210,3,8,StrokeFill,Small,1502,0
Blocked by VV,4,211,3,8,StrokeFill,Small,1422,0
Blocked by VV,4,212,3,9,StrokeFill,Medium,1165,0
Blocked by VV,4,213,3,10,StrokeFill,Large,5426,0
Blocked by VV,4,214,3,11,StrokeFill,Medium,2334,0
Blocked by VV,4,215,3,12,StrokeFill,Small,1126,0
Blocked by VV,4,216,3,12,StrokeFill,Small,1558,0
Blocked by VV,5,217,1,1,StrokeFill,Medium,1127,0
Blocked by VV,5,218,1,2,StrokeFill,Large,1021,0
Blocked by VV,5,219,1,2,StrokeFill,Large,4276,0
Blocked by VV,5,220,1,3,StrokeFill,Small,1381,0
Blocked by VV,5,221,1,4,StrokeFill,Medium,3550,0
Blocked by VV,5,222,1,4,StrokeFill,Medium,1711,0
Blocked by VV,5,223,1,5,StrokeFill,Small,1366,0
Blocked by VV,5,224,1,6,StrokeFill,Large,3295,0
Blocked by VV,5,225,1,6,StrokeFill,Large,1870,0
Blocked by VV,5,226,1,6,StrokeFill,Large,2855,0
Blocked by VV,5,227,1,7,StrokeFill,Medium,1526,0
Blocked by VV,5,228,1,8,StrokeFill,Small,918,0
Blocked by VV,5,229,1,8,StrokeFill,Small,2589,0
Blocked by VV,5,230,1,9,StrokeFill,Medium,1974,0
Blocked by VV,5,231,1,10,StrokeFill,Large,5912,0
Blocked by VV,5,232,1,11,StrokeFill,Medium,1966,0
Blocked by VV,5,233,1,12,StrokeFill,Small,1797,0
Blocked by VV,5,234,1,12,StrokeFill,Small,853,0
Blocked by VV,5,235,2,1,Fill,Medium,990,0
Blocked by VV,5,236,2,2,Fill,Large,630,0
Blocked by VV,5,237,2,2,Fill,Large,654,0
Blocked by VV,5,238,2,3,Fill,Small,575,0
Blocked by VV,5,239,2,4,Fill,Medium,590,0
Blocked by VV,5,240,2,4,Fill,Medium,558,0
Blocked by VV,5,241,2,5,Fill,Small,526,0
Blocked by VV,5,242,2,6,Fill,Large,569,0
Blocked by VV,5,243,2,6,Fill,Large,591,0
Blocked by VV,5,244,2,6,Fill,Large,1038,0
Blocked by VV,5,245,2,7,Fill,Medium,558,0
Blocked by VV,5,246,2,8,Fill,Small,574,0
Blocked by VV,5,247,2,8,Fill,Small,615,0
Blocked by VV,5,248,2,9,Fill,Medium,583,0
Blocked by VV,5,249,2,10,Fill,Large,551,0
Blocked by VV,5,250,2,11,Fill,Medium,470,0
Blocked by VV,5,251,2,12,Fill,Small,518,0
Blocked by VV,5,252,2,12,Fill,Small,607,0
Blocked by VV,5,253,3,1,Stroke,Medium,574,0
Blocked by VV,5,254,3,2,Stroke,Large,735,0
Blocked by VV,5,255,3,2,Stroke,Large,623,0
Blocked by VV,5,256,3,3,Stroke,Small,566,0
Blocked by VV,5,257,3,4,Stroke,Medium,487,0
Blocked by VV,5,258,3,4,Stroke,Medium,544,0
Blocked by VV,5,259,3,5,Stroke,Small,510,0
Blocked by VV,5,260,3,6,Stroke,Large,471,0
Blocked by VV,5,261,3,6,Stroke,Large,911,0
Blocked by VV,5,262,3,6,Stroke,Large,614,0
Blocked by VV,5,263,3,7,Stroke,Medium,542,0
Blocked by VV,5,264,3,8,Stroke,Small,510,0
Blocked by VV,5,265,3,8,Stroke,Small,583,0
Blocked by VV,5,266,3,9,Stroke,Medium,631,0
Blocked by VV,5,267,3,10,Stroke,Large,671,0
Blocked by VV,5,268,3,11,Stroke,Medium,614,0
Blocked by VV,5,269,3,12,Stroke,Small,566,0
Blocked by VV,5,270,3,12,Stroke,Small,525,0
Blocked by VV,6,271,1,1,Stroke,Medium,710,0
Blocked by VV,6,272,1,2,Stroke,Large,713,0
Blocked by VV,6,273,1,2,Stroke,Large,568,0
Blocked by VV,6,274,1,3,Stroke,Small,533,0
Blocked by VV,6,275,1,4,Stroke,Medium,550,0
Blocked by VV,6,276,1,4,Stroke,Medium,479,0
Blocked by VV,6,277,1,5,Stroke,Small,438,0
Blocked by VV,6,278,1,6,Stroke,Large,424,0
Blocked by VV,6,279,1,6,Stroke,Large,390,0
Blocked by VV,6,280,1,6,Stroke,Large,936,0
Blocked by VV,6,281,1,7,Stroke,Medium,542,0
Blocked by VV,6,282,1,8,Stroke,Small,494,0
Blocked by VV,6,283,1,8,Stroke,Small,605,0
Blocked by VV,6,284,1,9,Stroke,Medium,646,0
Blocked by VV,6,285,1,10,Stroke,Large,510,0
Blocked by VV,6,286,1,11,Stroke,Medium,536,0
Blocked by VV,6,287,1,12,Stroke,Small,477,0
Blocked by VV,6,288,1,12,Stroke,Small,462,0
Blocked by VV,6,289,2,1,StrokeFill,Medium,1334,0
Blocked by VV,6,290,2,2,StrokeFill,Large,2399,0
Blocked by VV,6,291,2,2,StrokeFill,Large,2088,0
Blocked by VV,6,292,2,3,StrokeFill,Small,1462,0
Blocked by VV,6,293,2,4,StrokeFill,Medium,1446,0
Blocked by VV,6,294,2,4,StrokeFill,Medium,1630,0
Blocked by VV,6,295,2,5,StrokeFill,Small,1438,0
Blocked by VV,6,296,2,6,StrokeFill,Large,1206,0
Blocked by VV,6,297,2,6,StrokeFill,Large,2534,0
Blocked by VV,6,298,2,6,StrokeFill,Large,1455,0
Blocked by VV,6,299,2,7,StrokeFill,Medium,1406,0
Blocked by VV,6,300,2,8,StrokeFill,Small,927,0
Blocked by VV,6,301,2,8,StrokeFill,Small,1542,0
Blocked by VV,6,302,2,9,StrokeFill,Medium,942,0
Blocked by VV,6,303,2,10,StrokeFill,Large,1967,0
Blocked by VV,6,304,2,11,StrokeFill,Medium,1084,0
Blocked by VV,6,305,2,12,StrokeFill,Small,1165,0
Blocked by VV,6,306,2,12,StrokeFill,Small,1565,0
Blocked by VV,6,307,3,1,Fill,Medium,839,0
Blocked by VV,6,308,3,2,Fill,Large,701,0
Blocked by VV,6,309,3,2,Fill,Large,535,0
Blocked by VV,6,310,3,3,Fill,Small,541,0
Blocked by VV,6,311,3,4,Fill,Medium,542,0
Blocked by VV,6,312,3,4,Fill,Medium,535,0
Blocked by VV,6,313,3,5,Fill,Small,541,0
Blocked by VV,6,314,3,6,Fill,Large,567,0
Blocked by VV,6,315,3,6,Fill,Large,577,0
Blocked by VV,6,316,3,6,Fill,Large,583,0
Blocked by VV,6,317,3,7,Fill,Medium,500,0
Blocked by VV,6,318,3,8,Fill,Small,509,0
Blocked by VV,6,319,3,8,Fill,Small,502,0
Blocked by VV,6,320,3,9,Fill,Medium,494,0
Blocked by VV,6,321,3,10,Fill,Large,486,0
Blocked by VV,6,322,3,11,Fill,Medium,632,0
Blocked by VV,6,323,3,12,Fill,Small,704,0
Blocked by VV,6,324,3,12,Fill,Small,758,0
